date,open,high,low,close,volume,quoteVolume
"19/03/2021, 20:00:00",58865.57000000,58956.00000000,58345.14000000,58800.00000000,1683.61190300,98818631.87480621
"19/03/2021, 21:00:00",58800.00000000,58970.60000000,58643.99000000,58826.56000000,1456.44676300,85633513.74350445
"19/03/2021, 22:00:00",58826.56000000,59468.00000000,58101.92000000,58372.40000000,3962.11893500,232999139.19975382
"19/03/2021, 23:00:00",58372.41000000,58755.15000000,58299.08000000,58648.78000000,1105.40938700,64737463.55670261
"20/03/2021, 00:00:00",58648.78000000,58648.78000000,58283.94000000,58501.56000000,972.23017900,56836165.13578407
"20/03/2021, 01:00:00",58501.55000000,58550.61000000,58000.00000000,58030.01000000,1627.33966900,94710585.73079219
"20/03/2021, 02:00:00",58030.01000000,58677.52000000,57820.17000000,58639.33000000,2400.21478100,139775135.61008880
"20/03/2021, 03:00:00",58639.33000000,58879.18000000,58482.57000000,58724.01000000,1418.75610600,83213022.25642246
"20/03/2021, 04:00:00",58724.02000000,58913.98000000,58416.16000000,58549.33000000,1292.83658600,75847128.67752989
"20/03/2021, 05:00:00",58549.33000000,58581.62000000,58179.05000000,58367.74000000,1369.40514100,79937434.71747051
"20/03/2021, 06:00:00",58367.75000000,58606.63000000,58153.28000000,58209.83000000,1090.34821100,63662122.44935170
"20/03/2021, 07:00:00",58209.83000000,58362.11000000,58050.00000000,58131.57000000,1005.92984900,58567178.12265729
"20/03/2021, 08:00:00",58131.57000000,58373.46000000,57980.00000000,58344.30000000,1229.53603800,71624722.72447132
"20/03/2021, 09:00:00",58344.30000000,58536.84000000,58268.00000000,58402.41000000,1346.29394400,78602838.71808992
"20/03/2021, 10:00:00",58402.41000000,58798.60000000,58402.40000000,58671.46000000,2269.32666400,133160868.73101746
"20/03/2021, 11:00:00",58671.45000000,58899.00000000,58577.55000000,58780.02000000,1730.98715900,101687855.91921922
"20/03/2021, 12:00:00",58780.03000000,58908.26000000,58577.00000000,58687.97000000,1237.61178800,72708435.82915073
"20/03/2021, 13:00:00",58685.98000000,59299.00000000,58626.27000000,59242.47000000,2563.59353600,151265724.30349677
"20/03/2021, 14:00:00",59242.91000000,59325.60000000,58756.41000000,59144.54000000,1890.87877900,111643256.77481865
"20/03/2021, 15:00:00",59144.54000000,59880.00000000,58610.62000000,59033.13000000,4616.41624000,274375295.41173724
"20/03/2021, 16:00:00",59027.95000000,59368.75000000,58755.30000000,59365.02000000,2675.66907300,158134357.72929599
"20/03/2021, 17:00:00",59365.02000000,59722.00000000,59030.23000000,59244.52000000,2360.94706800,140261533.88830589
"20/03/2021, 18:00:00",59244.51000000,59300.00000000,58901.66000000,59031.13000000,2191.01910100,129425314.87936093
